epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
135,541,,5812710.0,,
135,542,,7683497.0,,
135,543,,7717160.0,,
,135,,,,5180557.5
135,543,,,5180557.5,
135,543,6553073.5,,,
136,544,,5927274.5,,
136,545,,5751927.5,,
136,546,,7748832.5,,
136,547,,7560014.0,,
,136,,,,5180557.5
136,547,,,5180557.5,
136,547,6618256.0,,,
137,548,,5656841.0,,
137,549,,5720365.5,,
137,550,,8643630.0,,
137,551,,6859563.0,,
,137,,,,5180557.5
137,551,,,5180557.5,
137,551,6698013.0,,,
138,552,,5615617.5,,
138,553,,6414716.5,,
138,554,,8025147.5,,
138,555,,8135117.0,,
,138,,,,5180557.5
138,555,,,5180557.5,
138,555,6875427.0,,,
139,556,,5991319.5,,
139,557,,5798671.5,,
139,558,,7927567.0,,
139,559,,8552796.0,,
,139,,,,5180557.5
139,559,,,5180557.5,
139,559,6832374.5,,,
140,560,,5683277.5,,
140,561,,5697666.0,,
140,562,,8561225.0,,
140,563,,7353684.0,,
,140,,,,5180557.5
140,563,,,5180557.5,
140,563,6740070.5,,,
141,564,,5630088.0,,
141,565,,6186925.0,,
141,566,,8428983.0,,
141,567,,7295786.0,,
,141,,,,5180557.5
141,567,,,5180557.5,
141,567,6820459.5,,,
142,568,,5536980.0,,
142,569,,6023660.5,,
142,570,,7272250.5,,
142,571,,7007457.0,,
,142,,,,5180557.5
142,571,,,5180557.5,
142,571,6373399.0,,,
143,572,,5889013.5,,
143,573,,5941647.5,,
143,574,,7582776.0,,
143,575,,8413385.0,,
,143,,,,5180557.5
143,575,,,5180557.5,
143,575,6726009.5,,,
144,576,,5331978.0,,
144,577,,5906571.0,,
144,578,,7294233.5,,
144,579,,7796274.5,,
,144,,,,5180557.5
144,579,,,5180557.5,
144,579,6390000.0,,,
145,580,,5811420.5,,
145,581,,5923963.5,,
145,582,,7794376.5,,
145,583,,6730760.5,,
,145,,,,5180557.5
145,583,,,5180557.5,
145,583,6538899.0,,,
146,584,,5401778.5,,
146,585,,6170210.0,,
146,586,,7213915.5,,
146,587,,7316978.5,,
,146,,,,5180557.5
146,587,,,5180557.5,
146,587,6400408.5,,,
147,588,,5504803.5,,
147,589,,5936984.5,,
147,590,,7887910.0,,
147,591,,7130602.0,,
,147,,,,5180557.5
147,591,,,5180557.5,
147,591,6533430.5,,,
148,592,,5745892.0,,
148,593,,5749757.5,,
148,594,,7213082.5,,
148,595,,7102354.5,,
,148,,,,5180557.5
148,595,,,5180557.5,
148,595,6349896.5,,,
149,596,,5790992.0,,
149,597,,6013502.0,,
149,598,,7564159.5,,
149,599,,7599156.0,,
,149,,,,5180557.5
149,599,,,5180557.5,
149,599,6606196.5,,,
150,600,,5468595.5,,
150,601,,6164375.0,,
150,602,,7994231.5,,
150,603,,7580539.0,,
,150,,,,5180557.5
150,603,,,5180557.5,
150,603,6678627.0,,,
151,604,,5690353.5,,
151,605,,5471298.5,,
151,606,,7233647.5,,
151,607,,7126839.5,,
,151,,,,5180557.5
151,607,,,5180557.5,
151,607,6262342.0,,,
152,608,,5870109.0,,
152,609,,6045139.0,,
152,610,,7752718.5,,
152,611,,7922050.0,,
,152,,,,5180557.5
152,611,,,5180557.5,
152,611,6735245.5,,,
153,612,,5273821.0,,
153,613,,5885967.5,,
153,614,,7401200.5,,
